id,timestamp,id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
374,1747342604010,720.0,0.25,0.79,0.14,186.1,132.51,97.34999999999998
375,1747342604020,722.5,0.25,0.79,0.14,186.1,132.51,97.35
376,1747342604030,724.5,0.25,0.79,0.14,186.1,132.51,97.35
377,1747342604040,727.0,0.03666666666666666,0.9900000000000001,0.5666666666666668,198.44666666666663,121.17666666666666,131.73333333333332
378,1747342604050,729.5,-0.07,1.09,0.78,223.14,98.51,200.5
379,1747342604060,732.0,-0.07,1.09,0.7799999999999999,223.14,98.51,200.5
380,1747342604070,734.5,-0.07,1.09,0.78,223.14,98.51,200.5
381,1747342604080,736.5,-0.14500000000000002,0.93,1.02,227.505,99.45500000000001,199.19
382,1747342604090,739.0,-0.22,0.77,1.26,231.87,100.40000000000002,197.88
383,1747342604100,742.0,-0.22,0.77,1.26,231.87,100.40000000000002,197.88
384,1747342604110,744.5,-0.22,0.77,1.26,231.87,100.4,197.88
385,1747342604120,746.5,-0.21000000000000002,0.685,1.175,187.865,116.33,245.975
386,1747342604130,749.0,-0.20000000000000004,0.6,1.09,143.86,132.26,294.07
387,1747342604140,752.0,-0.20000000000000004,0.6,1.09,143.86,132.26,294.07
388,1747342604150,754.5,-0.2,0.6,1.09,143.86,132.26,294.07
389,1747342604160,756.5,-0.48,0.55,1.23,167.05,64.7,314.03
390,1747342604170,759.0,-0.48,0.55,1.23,167.05,64.7,314.03
391,1747342604180,762.0,-0.48,0.55,1.23,167.05,64.7,314.03
392,1747342604190,764.5,-0.48,0.55,1.23,167.05,64.7,314.03
393,1747342604200,767.0,-0.87,0.07,2.41,209.65666666666667,-34.42,250.47
394,1747342604210,770.0,-0.87,0.07,2.41,230.96,-83.98,218.68999999999997
395,1747342604220,772.5,-0.87,0.07,2.41,230.96,-83.98,218.69
396,1747342604230,775.0,-0.87,0.07,2.41,230.96,-83.98,218.68999999999997
397,1747342604240,778.0,-0.96,-0.54,3.19,156.68,-16.17,222.29
398,1747342604250,780.5,-0.96,-0.54,3.19,156.68,-16.17,222.29
399,1747342604260,783.0,-0.96,-0.54,3.19,156.68,-16.17,222.29
400,1747342604270,785.5,-1.155,-0.92,3.04,89.755,12.36,210.695
401,1747342604280,788.0,-1.3500000000000003,-1.3,2.89,22.83,40.89,199.1
402,1747342604290,790.5,-1.35,-1.3,2.89,22.83,40.89,199.1
403,1747342604300,793.0,-1.3500000000000003,-1.3,2.89,22.83,40.89,199.1
404,1747342604310,796.0,-1.3766666666666667,-1.4800000000000002,2.6833333333333336,-46.06333333333333,37.31,70.02666666666666
405,1747342604320,798.5,-1.39,-1.57,2.58,-80.51,35.52,5.49
406,1747342604330,800.5,-1.39,-1.57,2.58,-80.51,35.52,5.49
407,1747342604340,803.0,-1.39,-1.57,2.58,-80.51,35.52,5.489999999999999
408,1747342604350,805.5,-1.1099999999999999,-1.3250000000000002,2.035,-150.85,56.67,-45.99
409,1747342604360,808.0,-0.83,-1.08,1.49,-221.18999999999997,77.82,-97.46999999999998
410,1747342604370,810.5,-0.83,-1.08,1.49,-221.19,77.82,-97.47
411,1747342604380,813.0,-0.83,-1.08,1.49,-221.18999999999997,77.82,-97.46999999999998
412,1747342604390,815.5,-0.82,-0.57,1.3,-275.02,173.65,-181.88
413,1747342604400,818.0,-0.82,-0.57,1.3,-275.02,173.65,-181.88
414,1747342604410,820.5,-0.82,-0.57,1.3,-275.02,173.65,-181.88
415,1747342604420,823.0,-0.79,-0.2766666666666666,1.2933333333333332,-275.02,173.65,-181.88
416,1747342604430,825.5,-0.73,0.31,1.28,-291.5,73.36,-332.03
417,1747342604440,827.5,-0.73,0.31,1.28,-291.5,73.36,-332.03
418,1747342604450,829.5,-0.73,0.31,1.28,-291.5,73.36,-332.03
419,1747342604460,832.0,-0.6766666666666666,0.48666666666666664,1.2433333333333334,-290.77,67.60333333333334,-351.78666666666663
